RecordType,StartDate,Value
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 10:51:07 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 10:56:07 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:01:06 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:06:06 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:11:06 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:16:06 -0800,110
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:21:06 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:26:06 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:31:07 -0800,104
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:36:07 -0800,112
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:41:06 -0800,111
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:46:06 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:51:06 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 11:56:06 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:01:06 -0800,111
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:06:06 -0800,108
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:11:06 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:16:06 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:21:06 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:26:06 -0800,118
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:31:07 -0800,127
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:36:06 -0800,137
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:41:06 -0800,135
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:46:06 -0800,129
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:51:06 -0800,143
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 12:56:06 -0800,143
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:01:06 -0800,130
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:06:06 -0800,115
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:11:07 -0800,115
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:16:07 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:21:06 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:26:06 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:31:07 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:36:07 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:41:07 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:46:07 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:51:06 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 13:56:06 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:01:07 -0800,87
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:06:06 -0800,87
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:11:07 -0800,88
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:16:07 -0800,87
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:21:07 -0800,86
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:26:07 -0800,90
